Filename,Camera View,Activity Type,Start Time,End Time,Label (Primary),Appearance Block
Dashboard_user_id_61962_5,Dashboard,Distracted Behavior,0:00:08,0:00:11,Class 14,None
,Dashboard,Distracted Behavior,0:00:41,0:00:48,Class 13,None
,Dashboard,Distracted Behavior,0:01:20,0:01:30,Class 8,None
,Dashboard,Distracted Behavior,0:01:57,0:02:14,Class 15,None
,Dashboard,Distracted Behavior,0:02:26,0:02:50,Class 6,None
,Dashboard,Distracted Behavior,0:03:02,0:03:07,Class 7,None
,Dashboard,Distracted Behavior,0:03:32,0:03:42,Class 11,None
,Dashboard,Distracted Behavior,0:04:06,0:04:14,Class 3,None
,Dashboard,Distracted Behavior,0:04:40,0:04:43,Class 9,None
,Dashboard,Distracted Behavior,0:04:59,0:05:04,Class 10,None
,Dashboard,Distracted Behavior,0:05:19,0:05:36,Class 5,None
,Dashboard,Distracted Behavior,0:05:50,0:06:09,Class 12,None
,Dashboard,Distracted Behavior,0:06:23,0:06:42,Class 0,None
,Dashboard,Distracted Behavior,0:07:01,0:07:04,Class 4,None
,Dashboard,Distracted Behavior,0:07:29,0:07:33,Class 1,None
,Dashboard,Distracted Behavior,0:08:03,0:08:11,Class 2,None
Dashboard_user_id_61962_7,Dashboard,Distracted Behavior,0:00:08,0:00:12,Class 14,Hat
,Dashboard,Distracted Behavior,0:00:41,0:00:48,Class 13,Hat
,Dashboard,Distracted Behavior,0:01:21,0:01:30,Class 8,Hat
,Dashboard,Distracted Behavior,0:01:57,0:02:14,Class 15,Hat
,Dashboard,Distracted Behavior,0:02:26,0:02:50,Class 6,Hat
,Dashboard,Distracted Behavior,0:03:01,0:03:06,Class 7,Hat
,Dashboard,Distracted Behavior,0:03:32,0:03:36,Class 11,Hat
,Dashboard,Distracted Behavior,0:04:09,0:04:18,Class 3,Hat
,Dashboard,Distracted Behavior,0:04:41,0:04:44,Class 9,Hat
,Dashboard,Distracted Behavior,0:05:00,0:05:03,Class 10,Hat
,Dashboard,Distracted Behavior,0:05:19,0:05:36,Class 5,Hat
,Dashboard,Distracted Behavior,0:05:50,0:05:59,Class 12,Hat
,Dashboard,Distracted Behavior,0:06:23,0:06:42,Class 0,Hat
,Dashboard,Distracted Behavior,0:07:00,0:07:03,Class 4,Hat
,Dashboard,Distracted Behavior,0:07:29,0:07:32,Class 1,Hat
,Dashboard,Distracted Behavior,0:08:02,0:08:09,Class 2,Hat
Rearview_user_id_61962_5,Rearview,Distracted Behavior,0:00:08,0:00:11,Class 14,None
,Rearview,Distracted Behavior,0:00:41,0:00:48,Class 13,None
,Rearview,Distracted Behavior,0:01:20,0:01:30,Class 8,None
,Rearview,Distracted Behavior,0:01:57,0:02:14,Class 15,None
,Rearview,Distracted Behavior,0:02:26,0:02:50,Class 6,None
,Rearview,Distracted Behavior,0:03:02,0:03:07,Class 7,None
,Rearview,Distracted Behavior,0:03:32,0:03:42,Class 11,None
,Rearview,Distracted Behavior,0:04:06,0:04:14,Class 3,None
,Rearview,Distracted Behavior,0:04:40,0:04:43,Class 9,None
,Rearview,Distracted Behavior,0:04:59,0:05:04,Class 10,None
,Rearview,Distracted Behavior,0:05:19,0:05:36,Class 5,None
,Rearview,Distracted Behavior,0:05:50,0:06:09,Class 12,None
,Rearview,Distracted Behavior,0:06:23,0:06:42,Class 0,None
,Rearview,Distracted Behavior,0:07:01,0:07:04,Class 4,None
,Rearview,Distracted Behavior,0:07:29,0:07:33,Class 1,None
,Rearview,Distracted Behavior,0:08:03,0:08:11,Class 2,None
Rearview_User_id_61962_7,Rearview,Distracted Behavior,0:00:08,0:00:12,Class 14,Hat
,Rearview,Distracted Behavior,0:00:41,0:00:48,Class 13,Hat
,Rearview,Distracted Behavior,0:01:21,0:01:30,Class 8,Hat
,Rearview,Distracted Behavior,0:01:57,0:02:14,Class 15,Hat
,Rearview,Distracted Behavior,0:02:26,0:02:50,Class 6,Hat
,Rearview,Distracted Behavior,0:03:01,0:03:06,Class 7,Hat
,Rearview,Distracted Behavior,0:03:32,0:03:36,Class 11,Hat
,Rearview,Distracted Behavior,0:04:09,0:04:18,Class 3,Hat
,Rearview,Distracted Behavior,0:04:41,0:04:44,Class 9,Hat
,Rearview,Distracted Behavior,0:05:00,0:05:03,Class 10,Hat
,Rearview,Distracted Behavior,0:05:19,0:05:36,Class 5,Hat
,Rearview,Distracted Behavior,0:05:50,0:05:59,Class 12,Hat
,Rearview,Distracted Behavior,0:06:23,0:06:42,Class 0,Hat
,Rearview,Distracted Behavior,0:07:00,0:07:03,Class 4,Hat
,Rearview,Distracted Behavior,0:07:29,0:07:32,Class 1,Hat
,Rearview,Distracted Behavior,0:08:02,0:08:09,Class 2,Hat
Right_side_window_User_id_61962_5,Rightside Window,Distracted Behavior,0:00:08,0:00:11,Class 14,None
,Rightside Window,Distracted Behavior,0:00:41,0:00:48,Class 13,None
,Rightside Window,Distracted Behavior,0:01:20,0:01:30,Class 8,None
,Rightside Window,Distracted Behavior,0:01:57,0:02:14,Class 15,None
,Rightside Window,Distracted Behavior,0:02:26,0:02:50,Class 6,None
,Rightside Window,Distracted Behavior,0:03:02,0:03:07,Class 7,None
,Rightside Window,Distracted Behavior,0:03:32,0:03:42,Class 11,None
,Rightside Window,Distracted Behavior,0:04:06,0:04:14,Class 3,None
,Rightside Window,Distracted Behavior,0:04:40,0:04:43,Class 9,None
,Rightside Window,Distracted Behavior,0:04:59,0:05:04,Class 10,None
,Rightside Window,Distracted Behavior,0:05:19,0:05:36,Class 5,None
,Rightside Window,Distracted Behavior,0:05:50,0:06:09,Class 12,None
,Rightside Window,Distracted Behavior,0:06:23,0:06:42,Class 0,None
,Rightside Window,Distracted Behavior,0:07:01,0:07:04,Class 4,None
,Rightside Window,Distracted Behavior,0:07:29,0:07:33,Class 1,None
,Rightside Window,Distracted Behavior,0:08:03,0:08:11,Class 2,None
Right_side_window_User_id_61962_7,Rightside Window,Distracted Behavior,0:00:08,0:00:12,Class 14,Hat
,Rightside Window,Distracted Behavior,0:00:41,0:00:48,Class 13,Hat
,Rightside Window,Distracted Behavior,0:01:21,0:01:30,Class 8,Hat
,Rightside Window,Distracted Behavior,0:01:57,0:02:14,Class 15,Hat
,Rightside Window,Distracted Behavior,0:02:26,0:02:50,Class 6,Hat
,Rightside Window,Distracted Behavior,0:03:01,0:03:06,Class 7,Hat
,Rightside Window,Distracted Behavior,0:03:32,0:03:36,Class 11,Hat
,Rightside Window,Distracted Behavior,0:04:02,0:04:26,Class 3,Hat
,Rightside Window,Distracted Behavior,0:04:41,0:04:44,Class 9,Hat
,Rightside Window,Distracted Behavior,0:05:00,0:05:03,Class 10,Hat
,Rightside Window,Distracted Behavior,0:05:19,0:05:36,Class 5,Hat
,Rightside Window,Distracted Behavior,0:05:50,0:05:59,Class 12,Hat
,Rightside Window,Distracted Behavior,0:06:23,0:06:42,Class 0,Hat
,Rightside Window,Distracted Behavior,0:07:00,0:07:03,Class 4,Hat
,Rightside Window,Distracted Behavior,0:07:29,0:07:32,Class 1,Hat
,Rightside Window,Distracted Behavior,0:08:02,0:08:09,Class 2,Hat
