Filename,Camera View,Activity Type,Start Time,End Time,Label (Primary),Appearance Block
Dashboard_User_id_63764_5,Dashboard,Distracted Behavior,0:00:08,0:00:16,Class 13,None
,Dashboard,Distracted Behavior,0:00:24,0:00:28,Class 13,None
,Dashboard,Distracted Behavior,0:00:47,0:01:01,Class 5,None
,Dashboard,Distracted Behavior,0:01:15,0:01:31,Class 15,None
,Dashboard,Distracted Behavior,0:01:47,0:01:51,Class 3,None
,Dashboard,Distracted Behavior,0:01:58,0:02:01,Class 3,None
,Dashboard,Distracted Behavior,0:02:16,0:02:38,Class 6,None
,Dashboard,Distracted Behavior,0:02:55,0:03:12,Class 8,None
,Dashboard,Distracted Behavior,0:03:42,0:03:56,Class 11,None
,Dashboard,Distracted Behavior,0:04:10,0:04:26,Class 1,None
,Dashboard,Distracted Behavior,0:04:42,0:04:55,Class 12,None
,Dashboard,Distracted Behavior,0:05:09,0:05:30,Class 14,None
,Dashboard,Distracted Behavior,0:05:45,0:05:52,Class 9,None
,Dashboard,Distracted Behavior,0:06:08,0:06:13,Class 9,None
,Dashboard,Distracted Behavior,0:06:33,0:06:52,Class 0,None
,Dashboard,Distracted Behavior,0:07:08,0:07:16,Class 4,None
,Dashboard,Distracted Behavior,0:07:39,0:07:59,Class 2,None
,Dashboard,Distracted Behavior,0:08:13,0:08:20,Class 7,None
Dashboard_User_id_63764_7,Dashboard,Distracted Behavior,0:00:08,0:00:28,Class 8,Hat
,Dashboard,Distracted Behavior,0:00:44,0:01:05,Class 12,Hat
,Dashboard,Distracted Behavior,0:01:20,0:01:43,Class 6,Hat
,Dashboard,Distracted Behavior,0:01:57,0:02:19,Class 5,Hat
,Dashboard,Distracted Behavior,0:02:35,0:02:54,Class 0,Hat
,Dashboard,Distracted Behavior,0:03:10,0:03:26,Class 1,Hat
,Dashboard,Distracted Behavior,0:03:37,0:03:56,Class 13,Hat
,Dashboard,Distracted Behavior,0:04:15,0:04:18,Class 10,Hat
,Dashboard,Distracted Behavior,0:04:32,0:04:37,Class 9,Hat
