Filename,Camera View,Activity Type,Start Time,End Time,Label (Primary),Appearance Block
Dashboard_User_id_39367_5,Dashboard,Distracted Behavior,0:00:09,0:00:22,Class 15,None
,Dashboard,Distracted Behavior,0:00:35,0:00:43,Class 13,None
,Dashboard,Distracted Behavior,0:01:07,0:01:29,Class 8,None
,Dashboard,Distracted Behavior,0:01:45,0:01:52,Class 1,None
,Dashboard,Distracted Behavior,0:01:54,0:01:59,Class 1,None
,Dashboard,Distracted Behavior,0:02:16,0:02:21,Class 9,None
,Dashboard,Distracted Behavior,0:02:36,0:02:48,Class 4,None
,Dashboard,Distracted Behavior,0:03:13,0:03:31,Class 11,None
,Dashboard,Distracted Behavior,0:03:49,0:03:56,Class 7,None
,Dashboard,Distracted Behavior,0:04:10,0:04:26,Class 5,None
,Dashboard,Distracted Behavior,0:04:41,0:05:01,Class 6,None
,Dashboard,Distracted Behavior,0:05:22,0:05:25,Class 3,None
,Dashboard,Distracted Behavior,0:05:48,0:06:04,Class 14,None
,Dashboard,Distracted Behavior,0:06:20,0:06:43,Class 0,None
,Dashboard,Distracted Behavior,0:06:58,0:07:02,Class 10,None
,Dashboard,Distracted Behavior,0:07:18,0:07:39,Class 12,None
,Dashboard,Distracted Behavior,0:08:01,0:08:15,Class 2,None
Dashboard_User_id_39367_7,Dashboard,Distracted Behavior,0:00:08,0:00:22,Class 15,Hat
,Dashboard,Distracted Behavior,0:00:35,0:00:44,Class 13,Hat
,Dashboard,Distracted Behavior,0:00:47,0:00:50,Class 13,Hat
,Dashboard,Distracted Behavior,0:01:07,0:01:30,Class 8,Hat
,Dashboard,Distracted Behavior,0:01:46,0:01:51,Class 1,Hat
,Dashboard,Distracted Behavior,0:01:55,0:01:58,Class 1,Hat
,Dashboard,Distracted Behavior,0:02:16,0:02:22,Class 9,Hat
,Dashboard,Distracted Behavior,0:02:40,0:02:50,Class 4,Hat
,Dashboard,Distracted Behavior,0:03:13,0:03:33,Class 11,Hat
,Dashboard,Distracted Behavior,0:03:48,0:03:57,Class 7,Hat
,Dashboard,Distracted Behavior,0:04:11,0:04:26,Class 5,Hat
,Dashboard,Distracted Behavior,0:04:43,0:05:02,Class 6,Hat
,Dashboard,Distracted Behavior,0:05:29,0:05:37,Class 3,Hat
,Dashboard,Distracted Behavior,0:05:48,0:06:05,Class 14,Hat
,Dashboard,Distracted Behavior,0:06:20,0:06:42,Class 0,Hat
,Dashboard,Distracted Behavior,0:06:58,0:07:03,Class 10,Hat
,Dashboard,Distracted Behavior,0:07:18,0:07:40,Class 12,Hat
,Dashboard,Distracted Behavior,0:07:56,0:08:16,Class 2,Hat
Rearview_User_id_39367_5,Rearview,Distracted Behavior,0:00:09,0:00:22,Class 15,None
,Rearview,Distracted Behavior,0:00:35,0:00:43,Class 13,None
,Rearview,Distracted Behavior,0:01:07,0:01:29,Class 8,None
,Rearview,Distracted Behavior,0:01:45,0:01:52,Class 1,None
,Rearview,Distracted Behavior,0:01:54,0:01:59,Class 1,None
,Rearview,Distracted Behavior,0:02:16,0:02:21,Class 9,None
,Rearview,Distracted Behavior,0:02:36,0:02:48,Class 4,None
,Rearview,Distracted Behavior,0:03:13,0:03:31,Class 11,None
,Rearview,Distracted Behavior,0:03:49,0:03:56,Class 7,None
,Rearview,Distracted Behavior,0:04:10,0:04:26,Class 5,None
,Rearview,Distracted Behavior,0:04:41,0:05:01,Class 6,None
,Rearview,Distracted Behavior,0:05:22,0:05:25,Class 3,None
,Rearview,Distracted Behavior,0:05:48,0:06:04,Class 14,None
,Rearview,Distracted Behavior,0:06:20,0:06:43,Class 0,None
,Rearview,Distracted Behavior,0:06:58,0:07:02,Class 10,None
,Rearview,Distracted Behavior,0:07:18,0:07:39,Class 12,None
,Rearview,Distracted Behavior,0:08:01,0:08:15,Class 2,None
Rearview_User_id_39367_7,Rearview,Distracted Behavior,0:00:08,0:00:22,Class 15,Hat
,Rearview,Distracted Behavior,0:00:35,0:00:44,Class 13,Hat
,Rearview,Distracted Behavior,0:00:47,0:00:50,Class 13,Hat
,Rearview,Distracted Behavior,0:01:07,0:01:30,Class 8,Hat
,Rearview,Distracted Behavior,0:01:46,0:01:51,Class 1,Hat
,Rearview,Distracted Behavior,0:01:55,0:01:58,Class 1,Hat
,Rearview,Distracted Behavior,0:02:16,0:02:22,Class 9,Hat
,Rearview,Distracted Behavior,0:02:40,0:02:50,Class 4,Hat
,Rearview,Distracted Behavior,0:03:13,0:03:33,Class 11,Hat
,Rearview,Distracted Behavior,0:03:48,0:03:57,Class 7,Hat
,Rearview,Distracted Behavior,0:04:11,0:04:26,Class 5,Hat
,Rearview,Distracted Behavior,0:04:43,0:05:02,Class 6,Hat
,Rearview,Distracted Behavior,0:05:29,0:05:37,Class 3,Hat
,Rearview,Distracted Behavior,0:05:48,0:06:05,Class 14,Hat
,Rearview,Distracted Behavior,0:06:20,0:06:42,Class 0,Hat
,Rearview,Distracted Behavior,0:06:58,0:07:03,Class 10,Hat
,Rearview,Distracted Behavior,0:07:18,0:07:40,Class 12,Hat
,Rearview,Distracted Behavior,0:07:56,0:08:16,Class 2,Hat
Right_side_window_User_id_39367_5,Rightside Window,Distracted Behavior,0:00:09,0:00:22,Class 15,None
,Rightside Window,Distracted Behavior,0:00:35,0:00:43,Class 13,None
,Rightside Window,Distracted Behavior,0:01:07,0:01:29,Class 8,None
,Rightside Window,Distracted Behavior,0:01:45,0:01:52,Class 1,None
,Rightside Window,Distracted Behavior,0:01:54,0:01:59,Class 1,None
,Rightside Window,Distracted Behavior,0:02:16,0:02:21,Class 9,None
,Rightside Window,Distracted Behavior,0:02:36,0:02:48,Class 4,None
,Rightside Window,Distracted Behavior,0:03:13,0:03:31,Class 11,None
,Rightside Window,Distracted Behavior,0:03:49,0:03:56,Class 7,None
,Rightside Window,Distracted Behavior,0:04:10,0:04:26,Class 5,None
,Rightside Window,Distracted Behavior,0:04:41,0:05:01,Class 6,None
,Rightside Window,Distracted Behavior,0:05:22,0:05:25,Class 3,None
,Rightside Window,Distracted Behavior,0:05:48,0:06:04,Class 14,None
,Rightside Window,Distracted Behavior,0:06:20,0:06:43,Class 0,None
,Rightside Window,Distracted Behavior,0:06:58,0:07:02,Class 10,None
,Rightside Window,Distracted Behavior,0:07:18,0:07:39,Class 12,None
,Rightside Window,Distracted Behavior,0:08:01,0:08:15,Class 2,None
Right_side_window_User_id_39367_7,Rightside Window,Distracted Behavior,0:00:08,0:00:22,Class 15,Hat
,Rightside Window,Distracted Behavior,0:00:35,0:00:44,Class 13,Hat
,Rightside Window,Distracted Behavior,0:00:47,0:00:50,Class 13,Hat
,Rightside Window,Distracted Behavior,0:01:07,0:01:30,Class 8,Hat
,Rightside Window,Distracted Behavior,0:01:46,0:01:51,Class 1,Hat
,Rightside Window,Distracted Behavior,0:01:55,0:01:58,Class 1,Hat
,Rightside Window,Distracted Behavior,0:02:16,0:02:22,Class 9,Hat
,Rightside Window,Distracted Behavior,0:02:40,0:02:50,Class 4,Hat
,Rightside Window,Distracted Behavior,0:03:13,0:03:33,Class 11,Hat
,Rightside Window,Distracted Behavior,0:03:48,0:03:57,Class 7,Hat
,Rightside Window,Distracted Behavior,0:04:11,0:04:26,Class 5,Hat
,Rightside Window,Distracted Behavior,0:04:43,0:05:02,Class 6,Hat
,Rightside Window,Distracted Behavior,0:05:29,0:05:37,Class 3,Hat
,Rightside Window,Distracted Behavior,0:05:48,0:06:05,Class 14,Hat
,Rightside Window,Distracted Behavior,0:06:20,0:06:42,Class 0,Hat
,Rightside Window,Distracted Behavior,0:06:58,0:07:03,Class 10,Hat
,Rightside Window,Distracted Behavior,0:07:18,0:07:40,Class 12,Hat
